"","year","yoshino_peak_bloom_date","bloom_date","formatted_date","emoji"
"61",1981,93,1981-04-04,"Apr. 04","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"62",1982,97,1982-04-08,"Apr. 08","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"63",1983,97,1983-04-08,"Apr. 08","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"64",1984,94,1984-04-04,"Apr. 04","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"65",1985,97,1985-04-08,"Apr. 08","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"66",1986,92,1986-04-03,"Apr. 03","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"67",1987,87,1987-03-29,"Mar. 29","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"68",1988,91,1988-04-01,"Apr. 01","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"69",1989,88,1989-03-30,"Mar. 30","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"70",1990,74,1990-03-16,"Mar. 16","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"71",1991,88,1991-03-30,"Mar. 30","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"72",1992,98,1992-04-08,"Apr. 08","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"73",1993,101,1993-04-12,"Apr. 12","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"74",1994,95,1994-04-06,"Apr. 06","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"75",1995,92,1995-04-03,"Apr. 03","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"76",1996,95,1996-04-05,"Apr. 05","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"77",1997,85,1997-03-27,"Mar. 27","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"78",1998,86,1998-03-28,"Mar. 28","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"79",1999,95,1999-04-06,"Apr. 06","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"80",2000,77,2000-03-18,"Mar. 18","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"81",2001,96,2001-04-07,"Apr. 07","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"82",2002,92,2002-04-03,"Apr. 03","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"83",2003,92,2003-04-03,"Apr. 03","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"84",2004,91,2004-04-01,"Apr. 01","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"85",2005,99,2005-04-10,"Apr. 10","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"86",2006,89,2006-03-31,"Mar. 31","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
